site,phe,individuals,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot
LINC,GR1,124,10.6M,14,2020-06-14,Atlantic,18.09.40,0,,,skip
LINC,GR1,138,12.1M,3,2020-06-13,Midwest_Gulf,08.12.16,1,,,skip
LINC,GR1,192,11.5M,3,2020-06-16,Atlantic_Gulf,09.24.27,,,,
LINC,GR1,194,12.3M,11,2020-06-15,Midwest_Atlantic,12.41.02,0,,,skip
LINC,GR100,120,10.6M,3,2020-06-14,Atlantic,18.22.25,0,,,skip
LINC,GR100,131,12.1M,3,2020-06-13,Midwest_Gulf,08.26.10,0,,,skip
LINC,GR100,181,11.5M,6,2020-06-16,Atlantic_Gulf,09.38.06,,,,
LINC,GR100,190,12.3M,4,2020-06-15,Midwest_Atlantic,12.55.19,0,,,skip
LINC,GR50,124,10.6M,5,2020-06-14,Atlantic,08.30.32,1,nice,"Chr05N, Chr03K",
LINC,GR50,137,12.1M,3,2020-06-12,Midwest_Gulf,18.38.53,0,,,skip
LINC,GR50,191,11.5M,4,2020-06-15,Atlantic_Gulf,19.40.37,,,,
LINC,GR50,194,12.3M,4,2020-06-15,Midwest_Atlantic,00.08.32,1,nice,Chr05N,
LINC,PTT.12C,123,10.6M,5,2020-06-14,Atlantic,13.51.27,0,,,skip
LINC,PTT.12C,132,12.1M,6,2020-06-13,Midwest_Gulf,02.02.17,1000,nice,"Chr05N, 4K, 8K",
LINC,PTT.12C,188,11.5M,9,2020-06-16,Atlantic_Gulf,03.06.28,,,,
LINC,PTT.12C,190,12.3M,9,2020-06-15,Midwest_Atlantic,06.51.53,0,,,skip
PKLE,CGDD.12C,120,8.8M,13,2020-06-13,Midwest,11.45.17,10,nice,Chr02N,
PKLE,CGDD.12C,184,10.3M,14,2020-06-13,Gulf,18.07.43,10,,,skip
PKLE,CGDD.12C,262,10.6M,14,2020-06-14,Atlantic,06.34.49,10,,,skip
PKLE,CGDD.12C,304,12.1M,5,2020-06-12,Midwest_Gulf,15.47.12,100,,"Chr02N, 4K",skip
PKLE,CGDD.12C,382,12.3M,14,2020-06-14,Midwest_Atlantic,21.28.47,10,nice,1N,
PKLE,CGDD.12C,446,11.5M,9,2020-06-15,Atlantic_Gulf,16.52.25,,,,
